Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,7.1,All races/ ethnicities (aggregated),2017,Child Maltreatment
Allegany,19.6,All races/ ethnicities (aggregated),2017,Child Maltreatment
Anne Arundel,6.0,All races/ ethnicities (aggregated),2017,Child Maltreatment
Baltimore City,18.2,All races/ ethnicities (aggregated),2017,Child Maltreatment
Baltimore County,6.4,All races/ ethnicities (aggregated),2017,Child Maltreatment
Calvert,4.6,All races/ ethnicities (aggregated),2017,Child Maltreatment
Caroline,10.8,All races/ ethnicities (aggregated),2017,Child Maltreatment
Carroll,3.8,All races/ ethnicities (aggregated),2017,Child Maltreatment
Cecil,11.8,All races/ ethnicities (aggregated),2017,Child Maltreatment
Charles,5.7,All races/ ethnicities (aggregated),2017,Child Maltreatment
Dorchester,20.9,All races/ ethnicities (aggregated),2017,Child Maltreatment
Frederick,3.6,All races/ ethnicities (aggregated),2017,Child Maltreatment
Garrett,25.3,All races/ ethnicities (aggregated),2017,Child Maltreatment
Harford,10.3,All races/ ethnicities (aggregated),2017,Child Maltreatment
Howard,2.4,All races/ ethnicities (aggregated),2017,Child Maltreatment
Kent,9.4,All races/ ethnicities (aggregated),2017,Child Maltreatment
Montgomery,3.3,All races/ ethnicities (aggregated),2017,Child Maltreatment
Prince George's,6.8,All races/ ethnicities (aggregated),2017,Child Maltreatment
Queen Anne's,,All races/ ethnicities (aggregated),2017,Child Maltreatment
Saint Mary's,4.2,All races/ ethnicities (aggregated),2017,Child Maltreatment
Somerset,9.0,All races/ ethnicities (aggregated),2017,Child Maltreatment
Talbot,5.3,All races/ ethnicities (aggregated),2017,Child Maltreatment
Washington,7.8,All races/ ethnicities (aggregated),2017,Child Maltreatment
Wicomico,8.8,All races/ ethnicities (aggregated),2017,Child Maltreatment
Worcester,16.9,All races/ ethnicities (aggregated),2017,Child Maltreatment
State,6.6,All races/ ethnicities (aggregated),2016,Child Maltreatment
Allegany,21.1,All races/ ethnicities (aggregated),2016,Child Maltreatment
Anne Arundel,6.3,All races/ ethnicities (aggregated),2016,Child Maltreatment
Baltimore City,14.0,All races/ ethnicities (aggregated),2016,Child Maltreatment
Baltimore County,5.8,All races/ ethnicities (aggregated),2016,Child Maltreatment
Calvert,4.8,All races/ ethnicities (aggregated),2016,Child Maltreatment
Caroline,13.5,All races/ ethnicities (aggregated),2016,Child Maltreatment
Carroll,3.8,All races/ ethnicities (aggregated),2016,Child Maltreatment
Cecil,10.1,All races/ ethnicities (aggregated),2016,Child Maltreatment
Charles,4.3,All races/ ethnicities (aggregated),2016,Child Maltreatment
Dorchester,17.2,All races/ ethnicities (aggregated),2016,Child Maltreatment
Frederick,4.9,All races/ ethnicities (aggregated),2016,Child Maltreatment
Garrett,18.4,All races/ ethnicities (aggregated),2016,Child Maltreatment
Harford,12.9,All races/ ethnicities (aggregated),2016,Child Maltreatment
Howard,3.0,All races/ ethnicities (aggregated),2016,Child Maltreatment
Kent,8.0,All races/ ethnicities (aggregated),2016,Child Maltreatment
Montgomery,3.2,All races/ ethnicities (aggregated),2016,Child Maltreatment
Prince George's,5.4,All races/ ethnicities (aggregated),2016,Child Maltreatment
Queen Anne's,3.0,All races/ ethnicities (aggregated),2016,Child Maltreatment
Saint Mary's,15.0,All races/ ethnicities (aggregated),2016,Child Maltreatment
Somerset,5.3,All races/ ethnicities (aggregated),2016,Child Maltreatment
Talbot,4.3,All races/ ethnicities (aggregated),2016,Child Maltreatment
Washington,10.5,All races/ ethnicities (aggregated),2016,Child Maltreatment
Wicomico,5.9,All races/ ethnicities (aggregated),2016,Child Maltreatment
Worcester,11.5,All races/ ethnicities (aggregated),2016,Child Maltreatment
State,7.3,All races/ ethnicities (aggregated),2015,Child Maltreatment
Allegany,21.0,All races/ ethnicities (aggregated),2015,Child Maltreatment
Anne Arundel,6.7,All races/ ethnicities (aggregated),2015,Child Maltreatment
