Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,587.1,All races/ ethnicities (aggregated),2018,Domestic Violence
Allegany,650.9,All races/ ethnicities (aggregated),2018,Domestic Violence
Anne Arundel,750.1,All races/ ethnicities (aggregated),2018,Domestic Violence
Baltimore City,815.3,All races/ ethnicities (aggregated),2018,Domestic Violence
Baltimore County,1220.6,All races/ ethnicities (aggregated),2018,Domestic Violence
Calvert,451.1,All races/ ethnicities (aggregated),2018,Domestic Violence
Caroline,327.3,All races/ ethnicities (aggregated),2018,Domestic Violence
Carroll,328.9,All races/ ethnicities (aggregated),2018,Domestic Violence
Cecil,513.5,All races/ ethnicities (aggregated),2018,Domestic Violence
Charles,766.5,All races/ ethnicities (aggregated),2018,Domestic Violence
Dorchester,781.3,All races/ ethnicities (aggregated),2018,Domestic Violence
Frederick,505.8,All races/ ethnicities (aggregated),2018,Domestic Violence
Garrett,363.5,All races/ ethnicities (aggregated),2018,Domestic Violence
Harford,458,All races/ ethnicities (aggregated),2018,Domestic Violence
Howard,635.5,All races/ ethnicities (aggregated),2018,Domestic Violence
Kent,294.1,All races/ ethnicities (aggregated),2018,Domestic Violence
Montgomery,300.9,All races/ ethnicities (aggregated),2018,Domestic Violence
Prince George's,238.5,All races/ ethnicities (aggregated),2018,Domestic Violence
Queen Anne's,409.9,All races/ ethnicities (aggregated),2018,Domestic Violence
Saint Mary's,837.9,All races/ ethnicities (aggregated),2018,Domestic Violence
Somerset,533.6,All races/ ethnicities (aggregated),2018,Domestic Violence
Talbot,192.1,All races/ ethnicities (aggregated),2018,Domestic Violence
Washington,131.2,All races/ ethnicities (aggregated),2018,Domestic Violence
Wicomico,702.6,All races/ ethnicities (aggregated),2018,Domestic Violence
Worcester,540.3,All races/ ethnicities (aggregated),2018,Domestic Violence
State,603.8,All races/ ethnicities (aggregated),2019,Domestic Violence
Allegany,583.7,All races/ ethnicities (aggregated),2019,Domestic Violence
Anne Arundel,676.2,All races/ ethnicities (aggregated),2019,Domestic Violence
Baltimore City,1067.4,All races/ ethnicities (aggregated),2019,Domestic Violence
Baltimore County,1263.5,All races/ ethnicities (aggregated),2019,Domestic Violence
Calvert,444.2,All races/ ethnicities (aggregated),2019,Domestic Violence
Caroline,326.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Carroll,344.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Cecil,516.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Charles,695.2,All races/ ethnicities (aggregated),2019,Domestic Violence
Dorchester,516.8,All races/ ethnicities (aggregated),2019,Domestic Violence
Frederick,502.8,All races/ ethnicities (aggregated),2019,Domestic Violence
Garrett,279.2,All races/ ethnicities (aggregated),2019,Domestic Violence
Harford,480.7,All races/ ethnicities (aggregated),2019,Domestic Violence
Howard,569.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Kent,185.4,All races/ ethnicities (aggregated),2019,Domestic Violence
Montgomery,282,All races/ ethnicities (aggregated),2019,Domestic Violence
Prince George's,257.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Queen Anne's,293.8,All races/ ethnicities (aggregated),2019,Domestic Violence
Saint Mary's,952.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Somerset,620.7,All races/ ethnicities (aggregated),2019,Domestic Violence
Talbot,274.3,All races/ ethnicities (aggregated),2019,Domestic Violence
Washington,108.6,All races/ ethnicities (aggregated),2019,Domestic Violence
Wicomico,679.5,All races/ ethnicities (aggregated),2019,Domestic Violence
Worcester,535.6,All races/ ethnicities (aggregated),2019,Domestic Violence
State,568.6,All races/ ethnicities (aggregated),2020,Domestic Violence
Allegany,566.7,All races/ ethnicities (aggregated),2020,Domestic Violence
Anne Arundel,665.9,All races/ ethnicities (aggregated),2020,Domestic Violence
Baltimore City,1112.9,All races/ ethnicities (aggregated),2020,Domestic Violence
Baltimore County,1079,All races/ ethnicities (aggregated),2020,Domestic Violence
Calvert,424.4,All races/ ethnicities (aggregated),2020,Domestic Violence
Caroline,280.7,All races/ ethnicities (aggregated),2020,Domestic Violence
Carroll,369.6,All races/ ethnicities (aggregated),2020,Domestic Violence
Cecil,562.8,All races/ ethnicities (aggregated),2020,Domestic Violence
