Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,30.9,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Allegany,52.6,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Anne Arundel,35.4,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Baltimore City,74.3,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Baltimore County,43.9,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Calvert,36.9,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Caroline,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Carroll,36.1,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Cecil,53.2,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Charles,27.0,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Dorchester,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Frederick,31.4,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Garrett,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Harford,35.5,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Howard,17.2,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Kent,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Montgomery,11.0,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Prince George's,12.7,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Queen Anne's,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Saint Mary's,26.9,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Somerset,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Talbot,,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Washington,40.2,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Wicomico,30.5,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
Worcester,48.7,All races/ethnicities (aggregated),2015-2017,Drug-induced death rate
State,28.8,Black Non-Hispanic,2015-2017,Drug-induced death rate
Allegany,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Anne Arundel,22.1,Black Non-Hispanic,2015-2017,Drug-induced death rate
Baltimore City,75.6,Black Non-Hispanic,2015-2017,Drug-induced death rate
Baltimore County,28.4,Black Non-Hispanic,2015-2017,Drug-induced death rate
Calvert,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Caroline,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Carroll,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Cecil,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Charles,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Dorchester,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Frederick,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Garrett,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Harford,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Howard,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Kent,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Montgomery,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Prince George's,12.0,Black Non-Hispanic,2015-2017,Drug-induced death rate
Queen Anne's,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Saint Mary's,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Somerset,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Talbot,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Washington,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Wicomico,,Black Non-Hispanic,2015-2017,Drug-induced death rate
Worcester,,Black Non-Hispanic,2015-2017,Drug-induced death rate
State,7.1,Hispanic,2015-2017,Drug-induced death rate
Allegany,,Hispanic,2015-2017,Drug-induced death rate
Anne Arundel,,Hispanic,2015-2017,Drug-induced death rate
Baltimore City,,Hispanic,2015-2017,Drug-induced death rate
Baltimore County,,Hispanic,2015-2017,Drug-induced death rate
Calvert,,Hispanic,2015-2017,Drug-induced death rate
Caroline,,Hispanic,2015-2017,Drug-induced death rate
Carroll,,Hispanic,2015-2017,Drug-induced death rate
Cecil,,Hispanic,2015-2017,Drug-induced death rate
Charles,,Hispanic,2015-2017,Drug-induced death rate
Dorchester,,Hispanic,2015-2017,Drug-induced death rate
Frederick,,Hispanic,2015-2017,Drug-induced death rate
Garrett,,Hispanic,2015-2017,Drug-induced death rate
Harford,,Hispanic,2015-2017,Drug-induced death rate
Howard,,Hispanic,2015-2017,Drug-induced death rate
Kent,,Hispanic,2015-2017,Drug-induced death rate
Montgomery,,Hispanic,2015-2017,Drug-induced death rate
Prince George's,,Hispanic,2015-2017,Drug-induced death rate
Queen Anne's,,Hispanic,2015-2017,Drug-induced death rate
