Date created,Reporting Period Start date,Reporting Period End date,Geography,Median Household Income*,Margin of Error
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Maryland,98568,1246
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Allegany,54759,4927
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Anne Arundel,116956,3779
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Baltimore,86807,2814
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Calvert,124486,6953
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Caroline,63491,6911
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Carroll,113885,5450
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Cecil,87592,7805
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Charles,105141,6426
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Dorchester,63087,6070
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Frederick,114089,4263
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Garrett,65991,4766
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Harford,104553,4166
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Howard,140113,5978
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Kent,69781,6513
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Montgomery,125076,2346
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Prince George's,97171,2637
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Queen Anne's,112527,8725
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,St. Mary's,102345,3914
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Somerset,51841,6181
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Talbot,80371,8725
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Washington,71685,5165
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Wicomico,70975,4440
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Worcester,75459,5309
02/14/2025 12:00:00 AM,01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,Baltimore city,58616,3000
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Maryland,94957,1051
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Allegany,50582,5148
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Anne Arundel,112525,3736
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Baltimore,86198,2824
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Calvert,118110,9322
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Caroline,65981,6742
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Carroll,105096,5832
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Cecil,84513,6550
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Charles,112932,6163
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Dorchester,54206,4914
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Frederick,116796,6181
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Garrett,59080,5632
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Harford,100334,6083
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Howard,133068,5990
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Kent,69695,8260
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Montgomery,118020,3351
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Prince George's,93833,2285
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Queen Anne's,109436,8197
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,St. Mary's,112154,4417
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Somerset,53590,4989
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Talbot,76583,7708
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Washington,69271,3714
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Wicomico,68851,4441
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Worcester,75969,7115
02/14/2025 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,Baltimore city,54735,2535
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Maryland,90129,1042
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Allegany,49236,3508
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Anne Arundel,107281,3060
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Baltimore,80159,2930
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Calvert,117459,8674
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Caroline,61945,6019
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Carroll,102006,5659
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Cecil,76727,6388
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Charles,103918,6011
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Dorchester,54731,4764
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Frederick,104253,5113
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Garrett,55107,4470
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Harford,95951,4281
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Howard,131412,6158
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Kent,66183,8033
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Montgomery,112352,3426
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Prince George's,89689,1956
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Queen Anne's,94583,6894
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,St. Mary's,106539,4742
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Somerset,47131,4690
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Talbot,78931,6746
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Washington,65433,4189
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Wicomico,61848,4248
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Worcester,70952,4569
02/14/2025 12:00:00 AM,01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Baltimore city,54068,1913
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Maryland,88589,1147
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Allegany,53023,2532
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Anne Arundel,105979,3409
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Baltimore,79974,2945
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Calvert,111665,8753
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Caroline,60617,7399
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Carroll,104817,5454
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Cecil,84248,6862
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Charles,102681,4855
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Dorchester,54846,6146
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Frederick,99254,4960
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Garrett,56929,6678
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Harford,102537,5104
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Howard,124042,6691
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Kent,64437,9572
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Montgomery,115394,2814
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Prince George's,85246,2391
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Queen Anne's,93427,10940
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,St. Mary's,105197,8588
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Somerset,51787,5355
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Talbot,69311,8222
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Washington,63237,4916
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Wicomico,59387,5159
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Worcester,62481,5660
02/14/2025 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Baltimore city,51485,3237
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Maryland,86644,910
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Allegany,48170,3994
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Anne Arundel,100916,1997
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Baltimore,76972,2850
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Calvert,111056,5224
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Caroline,60143,5864
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Carroll,101810,4558
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Cecil,75307,5033
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Charles,102510,4153
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Dorchester,48709,4565
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Frederick,102951,3029
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Garrett,59253,3790
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Harford,91492,4840
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Howard,121329,4553
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Kent,65615,6855
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Montgomery,110012,2763
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Prince George's,85357,2370
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Queen Anne's,101350,6021
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,St. Mary's,89123,7881
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Somerset,38731,3574
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Talbot,75714,4769
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Washington,59785,3733
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Wicomico,54351,4344
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Worcester,65821,3788
02/14/2025 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Baltimore city,49780,1866
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Maryland,83076,973
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Allegany,43535,3514
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Anne Arundel,97051,3136
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Baltimore,75836,1993
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Calvert,106270,5011
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Caroline,56627,5310
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Carroll,95956,5012
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Cecil,72739,4566
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Charles,92616,6170
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Dorchester,48682,4431
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Frederick,95196,3711
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Garrett,49147,4851
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Harford,87959,3723
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Howard,116719,4894
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Kent,55514,5247
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Montgomery,107758,2511
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Prince George's,82445,1695
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Queen Anne's,93751,4974
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,St. Mary's,89964,6412
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Somerset,42098,4133
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Talbot,64245,6221
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Washington,62556,2326
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Wicomico,54313,4071
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Worcester,59266,4417
02/14/2025 12:00:00 AM,01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Baltimore city,50501,1283
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Maryland,80711,688
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Allegany,42564,2389
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Anne Arundel,96133,3317
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Baltimore,73309,2525
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Calvert,100000,7761
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Caroline,56338,4591
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Carroll,92890,4403
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Cecil,72259,5041
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Charles,94478,6200
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Dorchester,47011,4315
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Frederick,91727,4577
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Garrett,46899,4341
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Harford,80922,3766
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Howard,111576,2671
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Kent,57760,5803
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Montgomery,102944,2426
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Prince George's,80858,1371
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Queen Anne's,90696,6516
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,St. Mary's,82433,4295
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Somerset,40320,4191
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Talbot,70620,5233
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Washington,59828,2887
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Wicomico,52341,4087
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Worcester,61405,4112
02/14/2025 12:00:00 AM,01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Baltimore city,46762,1376
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Maryland,78787,717
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Allegany,44708,2618
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Anne Arundel,95297,2976
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Baltimore,72305,2038
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Calvert,97188,6891
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Caroline,49616,3127
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Carroll,89529,4117
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Cecil,70504,5044
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Charles,93947,4001
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Dorchester,44491,3942
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Frederick,89541,3211
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Garrett,46710,3652
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Harford,83595,3496
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Howard,119386,4315
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Kent,54210,4159
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Montgomery,99604,1665
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Prince George's,78680,1507
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Queen Anne's,79966,5224
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,St. Mary's,80049,6036
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Somerset,38546,4023
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Talbot,62264,5109
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Washington,54643,2944
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Wicomico,50015,3730
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worcester,53509,4285
02/14/2025 12:00:00 AM,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Baltimore city,46604,1459
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Maryland,75784,581
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Allegany,39859,3112
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Anne Arundel,90825,1834
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Baltimore,68317,2340
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Calvert,98937,6712
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Caroline,51294,4257
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Carroll,84506,3610
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Cecil,68972,3418
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Charles,87941,3176
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Dorchester,44664,3869
