Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,8.6,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Allegany,4.2,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Anne Arundel,8.2,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Baltimore City,7.7,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Baltimore County,7.9,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Calvert,4.6,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Caroline,5.8,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Carroll,3.9,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Cecil,4.2,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Charles,7.6,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Dorchester,4.8,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Frederick,8.8,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Garrett,5.4,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Harford,2.8,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Howard,6.2,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Kent,3.6,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Montgomery,13.4,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Prince George's,14.9,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Queen Anne's,5.1,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Saint Mary's,4,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Somerset,6.4,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Talbot,5.2,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Washington,6.6,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Wicomico,8.3,All races/ ethnicities (aggregated),2017,Uninsured ED visits
Worcester,6.4,All races/ ethnicities (aggregated),2017,Uninsured ED visits
State,10.1,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Allegany,4.8,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Anne Arundel,9.7,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Baltimore City,10.4,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Baltimore County,9.5,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Calvert,5,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Caroline,7.1,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Carroll,4.8,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Cecil,5.2,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Charles,8.6,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Dorchester,6.1,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Frederick,9.3,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Garrett,6.4,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Harford,3.1,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Howard,6.7,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Kent,4,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Montgomery,14.1,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Prince George's,16.3,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Queen Anne's,5.8,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Saint Mary's,5.1,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Somerset,6.5,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Talbot,6.6,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Washington,7.3,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Wicomico,8.4,All races/ ethnicities (aggregated),2016,Uninsured ED visits
Worcester,7.3,All races/ ethnicities (aggregated),2016,Uninsured ED visits
State,10.7,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Allegany,5.5,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Anne Arundel,10.3,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Baltimore City,11.9,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Baltimore County,10.5,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Calvert,4.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Caroline,6.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Carroll,5.4,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Cecil,5.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Charles,8.4,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Dorchester,6.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Frederick,9.3,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Garrett,5.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Harford,3.4,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Howard,7.9,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Kent,4.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Montgomery,13.9,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Prince George's,15.8,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Queen Anne's,5.1,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Saint Mary's,6.9,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Somerset,7.6,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Talbot,6.6,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Washington,9.5,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Wicomico,10,All races/ ethnicities (aggregated),2015,Uninsured ED visits
Worcester,7.3,All races/ ethnicities (aggregated),2015,Uninsured ED visits
State,11,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Allegany,5.8,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Anne Arundel,10.7,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Baltimore City,12,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Baltimore County,11.5,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Calvert,6.2,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Caroline,8.8,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Carroll,5.8,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Cecil,6.5,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Charles,9,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Dorchester,8,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Frederick,9.5,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Garrett,7.3,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Harford,5.8,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Howard,9.2,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Kent,5.4,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Montgomery,13.8,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Prince George's,15.5,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Queen Anne's,6.5,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Saint Mary's,6.3,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Somerset,7.2,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Talbot,7.6,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Washington,9.7,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Wicomico,9.9,All races/ ethnicities (aggregated),2014,Uninsured ED visits
Worcester,7.6,All races/ ethnicities (aggregated),2014,Uninsured ED visits
State,15.2,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Allegany,10.9,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Anne Arundel,15.2,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Baltimore City,18,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Baltimore County,15.4,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Calvert,9.7,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Caroline,13,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Carroll,8.7,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Cecil,11.7,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Charles,12.8,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Dorchester,12.7,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Frederick,12.3,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Garrett,12.1,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Harford,10.9,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Howard,11.2,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Kent,9.7,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Montgomery,16.2,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Prince George's,18.9,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Queen Anne's,10.3,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Saint Mary's,9.1,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Somerset,10.5,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Talbot,12.3,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Washington,15.3,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Wicomico,14.1,All races/ ethnicities (aggregated),2013,Uninsured ED visits
Worcester,12.6,All races/ ethnicities (aggregated),2013,Uninsured ED visits
State,15.7,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Allegany,10.6,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Anne Arundel,15.6,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Baltimore City,18.8,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Baltimore County,16,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Calvert,9.5,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Caroline,15.6,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Carroll,9.9,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Cecil,12.2,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Charles,13.2,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Dorchester,14.8,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Frederick,12.9,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Garrett,11.8,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Harford,10.7,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Howard,11,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Kent,12.3,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Montgomery,16.7,All races/ ethnicities (aggregated),2012,Uninsured ED visits
Prince George's,19.3,All races/ ethnicities (aggregated),2012,Uninsured ED visits
